comment,sentiment,confidence
"This tutorial is by far the best one that I have seen. Crisp, precise and totally on point Thank you so much.",Positive,0.927
ขอบคุณครับ,Neutral,0.448
"its like magic, but once you put it into focus and think on it, it turns out it feels sooooo logical. idk, im still the worst k8s admin in my company. but from the bottom  of my heart, thanks you for helping be build on getting there 🚀",Positive,0.531
Wonderful video!,Positive,0.848
can you please give me any soft copy of this video material,Positive,0.439
I am fan of you and very good and clear explanation,Positive,0.794
You are my hero!!,Positive,0.435
Unbelievable quality ! cant believe this is free!,Positive,0.444
"Great Tutorial ! For anyone who follows each step closely, on 2:13:16 when you get ingress enabled, it creates a separate namespace called ""ingress-nginx"" where you can locate the controller pod. 
It is not within kube-system. Peace!",Positive,0.575
"hi, can anyone help me with this error. I'm trying to spin up Mongo-express pod, but it is failing and below is the kubectl describe pod details,

Containers:
  mongo-express:
    Container ID:   docker://5bf5469a5cbe823cfc3d0cd63f6d91ed8574747bf3827ce1e870c4756e8ab2b1
    Image:          mongo-express
    Image ID:       docker-pullable://mongo-express@sha256:dcfcf89bf91238ff129469a5a94523b3025913dcc41597d72d4d5f4a0339cc7d
    Port:           8081/TCP
    Host Port:      0/TCP
    State:          Waiting
      Reason:       CrashLoopBackOff
    Last State:     Terminated
      Reason:       Completed
      Exit Code:    0
      Started:      Tue, 21 Feb 2023 20:16:01 +0530
      Finished:     Tue, 21 Feb 2023 20:16:04 +0530
    Ready:          False
    Restart Count:  18
    Environment:
      ME_CONFIG_MONGODB_ADMINUSERNAME:  <set to the key 'mongo-root-username' in secret 'mysecret'>        Optional: false
      ME_CONFIG_MONGODB_ADMINPASSWORD:  <set to the key 'mongo-root-password' in secret 'mysecret'>        Optional: false
      ME_CONFIG_MONGODB_SERVER:         <set to the key 'database_url' of config map 'mongodb-configmap'>  Optional: false
    Mounts:
      /var/run/secrets/kubernetes.io/serviceaccount from kube-api-access-9wdcf (ro)
Conditions:
  Type              Status
  Initialized       True
  Ready             False
  ContainersReady   False
  PodScheduled      True
Volumes:
  kube-api-access-9wdcf:
    Type:                    Projected (a volume that contains injected data from multiple sources)
    TokenExpirationSeconds:  3607
    ConfigMapName:           kube-root-ca.crt
    ConfigMapOptional:       <nil>
    DownwardAPI:             true
QoS Class:                   BestEffort
Node-Selectors:              <none>
Tolerations:                 node.kubernetes.io/not-ready:NoExecute op=Exists for 300s
                             node.kubernetes.io/unreachable:NoExecute op=Exists for 300s
Events:
  Type     Reason   Age                  From     Message
  ----     ------   ----                 ----     -------
  Warning  BackOff  78s (x318 over 71m)  kubelet  Back-off restarting failed container",Neutral,0.527
"As i am not using minikube but docker hub , how do I get the URL for mongo-express-service? for external IP it is showing ""localhost"" but localhost:30000 not working....how to get the URL then ?",Neutral,0.496
You got a new subscriber for such an excellent job,Positive,0.814
Your video for kubernetes is great. Very helpful for beginners. Appreciate it.,Positive,0.981
打卡 2:38:29,Neutral,0.59
"I'm following along at 1:23 mark and had several problems due to me mispelling things. ""WROD"" instead of ""WORD"" for example. And ""mongdb"" instead of ""mongodb"". These caused ""backoff"" messages and ""access denied."" I'm glad I encountered them, it helped me really undersdtand the YAML in this section. Also - absolutely wonderfull video!",Positive,0.522
Thank You :),Positive,0.968
grazie 100000000000000000000000000000 !,Neutral,0.448
"thanks for the great content, I absolutely loved it. I want to add something to the demo project: 
if you installed Minikube using docker then your nodePort for the mongo-express (30000) will be tunneled and docker will use a different port.

keep up the good work @TechWorldwithNana",Positive,0.841
"Well explained 👏👏 this was really helpful, thank you 😊",Positive,0.968
You're my muse dear Nana. God Bless you!,Positive,0.578
Thank you so much!,Positive,0.98
Thanks!,Positive,0.985
7:46 each pod has its own ip address,Neutral,0.417
Thank you so much for such knowledge.,Positive,0.971
"An amazing course on K8s, Great great Job . Thank you Nana",Positive,0.998
Wonderful content. I have a Authentication issue  while connecting mongo-express to mongodb.,Positive,0.719
"Thank you! Awesome!
I hope people would appreciate such a great work. My hats off to you!",Positive,0.986
hi Nana! did u create the k8s-configuration/  directory manually or it is a  directory by default and automatically saving those file in it? Thanks!,Positive,0.585
Sorry I can't stand her accent. 🙁,Negative,0.505
"by using kubedem init  this error
[preflight] Running pre-flight checks
error execution phase preflight: [preflight] Some fatal errors occurred:
        [ERROR CRI]: container runtime is not running: output: time=""2023-02-13T10:44:26Z"" level=fatal msg=""validate service connection: CRI v1 runtime API is not implemented for endpoint \""unix:///var/run/containerd/containerd.sock\"": rpc error: code = Unimplemented desc = unknown service runtime.v1.RuntimeService""
, error: exit status 1
[preflight] If you know what you are doing, you can make a check non-fatal with `--ignore-preflight-errors=...`
To see the stack trace of this error execute with --v=5 or higher",Neutral,0.489
Is Kubernetes ClusterIp service is specific to Node ?,Neutral,0.623
"@techworldwithnana , Does Data synchronization in stateful apps need to take care by us or will k8s take care ?",Positive,0.367
Would you say kubernetes is a skill a dev should /must have nowadays?,Neutral,0.365
Bedankt,Neutral,0.448
Thanks!,Positive,0.985
Very designed and explained  course.... Thanks Nana,Positive,0.796
"new to macos terminal: when I try to edit deployment with kubectl edit deployment nginx-depl , it wont let me type in anything on the file.  What key am I missing? and what keys do you use to save?  Thank you!",Neutral,0.512
Thanks,Positive,0.985
"why   both service.yml  and deployment.yml deploying,  deployment.yml is not enough???????",Neutral,0.458
Nana you are the best,Positive,0.749
"When I use the configuration file at 59:16 it gives me the error 

error: error when retrieving current configuration of:
Resource: ""apps/v1, Resource=deployments"", GroupVersionKind: ""apps/v1, Kind=Deployment""
Name: """", Namespace: ""default""
from server for: "".\\nginx-deployment.yaml"": resource name may not be empty",Neutral,0.472
Awesome learning. Loads of Thanks.,Positive,0.97
1:44:44 I'm using AWS eks and the external-ip provided in mongo-express-service doesn't load.. Any idea?,Neutral,0.536
"wow this is a very very great contribute, thank you a lot really!!!",Positive,0.98
Thank you so much for the video!!!,Positive,0.935
impressive teaching skills!,Positive,0.738
"Thanks a lot for such a great explanation and vital info. Really, this help lot of people who are beginners and experienced. Once again .... Thank you soo much.👏👏🙏🙏",Positive,0.927
Thankyou Nana for the awesome course 😊,Positive,0.834
This is a work of art. Great tutorial. Explained in simple terms. Beautifully done via visuals and animations. A lot of hard work has been put in. Highly appreciated. Thank you so so so much! :),Positive,0.958
"Thank you , it is really a useful tutorial , appreciate your efforts",Positive,0.975
"Guys, my mongo pod is showing me the status of CrashLoopBackOff everytime I create the deployment. I am using minikube & kubectl on Windows 10 by the way. Any help would be much appreciated! :)",Positive,0.488
Really awesome as this is the third time I am watching to refresh some of the fundamentals of kubernetes.... I hope you won't mind If I use some of your flow diagram for our internal training for new comers.... Keep up the good work :-) Whoever ask me how to start learning kubernetes then I always shared your video to watch as it has all the fundamental to keep going with such a complicated tool to start using.... thanks once again....,Positive,0.822
Kudos to tutor. Excellent..,Positive,0.826
k8 backup and restore is missing,Neutral,0.551
You teaching style is just awesome,Positive,0.886
"Her name is Janashia, the greatest Female teacher I have seen. 💯💯",Positive,0.639
"Really amazing course
Thank you nana",Positive,0.994
"I feel like not enough time was spent to discuss what a 'Service' is, and how it is different from 'Deployment'. So there are these conceptual things that are missed in discussion as you progress with the course. Also, at least towards the beginning, the class moves a little too fast, with emphasis on code more than on building a sound conceptual base.",Neutral,0.557
Can I kubectl exec if there are multiple containers inside the pod?,Neutral,0.534
Thanks!,Positive,0.985
You are amazing. Thank you for creating this amazing content and making this available for the wider community. You spread knowledge and make our world a better one. Thank you.,Positive,0.951
This 1 big video tutorial is far better than the complete official K8 documentation. Thank you for making this available for free for everyone.,Positive,0.834
This was Awesome Ty so much for all the info,Positive,0.859
"I came across this course randomly. I can't believe how you did this, Nana. I have written each and every word you have said in this video. Revised it thoroughly. 
I want to know how to practise GKE/K8 from here. I want to be really good at this. Want to solve complex problems, can you guide me some good practise material please. 
ThankYou so much! 
Love, 
Priya",Positive,0.836
Thanks!,Positive,0.985
"While following along, my node had a status of control-plane. I checked to see if I had done something wrong, but it looks as though this is the same thing. Great course so far. As a tester, I am just looking to get familiar enough to help the development team and this is giving me a great introduction.",Positive,0.832
I'm in love with your courses🤩😘. Thanks alot,Positive,0.985
"Surprising that this course is made for free, shows Nana is doing God's work and deserve the success in her life, shows she care more about uplifting others than profit",Positive,0.703
Thanks for this content 🏆,Positive,0.923
"After the demo project setup, I'm not able to access the mongo express external service. Can someone give me the solution for it?",Neutral,0.386
Got here after I watched the GitLab tutorial. What can I say? Example of great content! Big thank you to Nana (and everyone behind this amazing channel) for sharing her knowledge and keep up the good job!,Positive,0.957
"There is a tool called k9s, which makes managing kubertenes much easier! It's a command line tool with simple UI. I highly recommend it.",Positive,0.675
"Thanks , keep making lab with your teching that help me alot",Positive,0.884
I love you,Positive,0.971
"Easy way to get dashboard :
minikube addons enable dashboard
minikube dashboard",Positive,0.677
"Hello, I need some help, while doing kubectl apply -f filename.yaml, i am getting this error message:""error: the path ""nginx-deployment.yaml"" does not exist"", Anyone could help me out with that?
Thank  you by the way",Positive,0.633
My loadbalancer extenal-ip doesn't resolve. When I enter command minikube service mongo-express-service it gives an error Exiting due to SVC_NOT_FOUND: Service 'mongo-express-service' was not found in 'default' namespace. You may select another namespace by using 'minikube service mongo-express-service -n <namespace>'. Or list out all the services using 'minikube service list'. Any idea how to resolve?,Positive,0.393
"Hi Nana , thanks to very clear explanation.",Positive,0.895
Excellent teaching skills,Positive,0.814
"Greatly appreciated this video and helped a lot to create its roadmap. Thank you so much, Nana.",Positive,0.908
Awesome Tutorial and kudos for a job well done,Positive,0.944
"the course is pretty good, thanks for sharing!",Positive,0.946
"Hi Nana, you said in the part of the course when you talked about minikube, that deployment is an abstraction layer over a pod. But in the begining you said that deployment is a replica of a pod?",Neutral,0.56
"Thank you so much for the content.
Long live-!",Positive,0.922
"Hello Nana,  I am going to keep your photo in pooja room 🙏🙏🙏
Thank you so much for the content.
Long live-!",Positive,0.905
"Absolutely fantastic tutorial, covered everything I needed to not feel overwhelmed. Even two years later, worth watching. Fantastic work!",Positive,0.886
"Wow, this is awesome!!  Great class!!",Positive,0.982
Awesome job love the accent,Positive,0.95
Thanks!,Positive,0.985
For minkube 1.19 and later ingress controller is under ingress-nginx namespace not in kube-system .,Neutral,0.544
Danke!,Neutral,0.448
"Superb training. This is much better than any paid trainings. You are amazing. I subscribed, liked the video and ensured to watch few ads fully",Positive,0.88
mam if u have notes pdf of this video could u pls share it so it will easy to revise pls,Positive,0.559
"If I do this course CKA, will I get a job. I don't want to cover entire Devops, but I have knowledge of Devops. Learning all the Devops tools makes me confuse. So I want to concentrate only on k8s. Can you please suggest nana",Positive,0.494
Simply Amazing!,Positive,0.937
Thanks for the great video. That is brilliant. I have a question about external ip addresses. It seems like the current version of minikube does not support it? I cannot get the IP address to work. The internal works just fine! Thanks,Positive,0.838
hello nana plz give me this github url because bitlay url has been expired,Neutral,0.617
Thank you Nana,Positive,0.968
Which tool do you use for creating animations?,Neutral,0.459
"Hi, thanks a lot for your tutorial, it is really well structured and well explained. 
However when trying to apply your deployment and service yaml files from your repository they are executed and the service and pods are created, however nginx is not reachable. My commands look like this:
kubectl apply -f nginx-deployment.yaml
kubectl apply -f nginx-service.yaml
http localhost:80

When running the last command I get an connection refused error. Also when checking the listening ports (using ""sudo lsof -i -P -n | grep LISTEN"" on Ubuntu port 80 is not being listed as LISTEN port). Does this also happen to someone else?",Positive,0.493
Best structured Helm content ! thanks 🙂,Positive,0.969
Thank you ! Great lesson with perfect balance of demo and theory. Absolutely loved it !,Positive,0.967
"Hello Nana!!

I'm trying to install hyperkit on my mac but it always comes up with an error. Please find the error below and see if you can help me out?

hyperkit: The x86_64 architecture is required for this software.
Error: hyperkit: An unsatisfied requirement failed this build.",Positive,0.476
Dankeschön,Neutral,0.448
"Thank s lot for this kind of video.
Hats off ✌👍",Positive,0.907
Thanks!,Positive,0.985
"Nana, thank you so much for this course!!! I have a question.. Can Minikube run in a docker container instead of installing it on the host machine directly, or it would be wrong way? Thanks in advance!",Positive,0.726
I gone through some of the courses in udemy to learn kubernetes but this video is very easy to understand and learn,Neutral,0.49
Thank you Nana! Keep up your remarkable work!,Positive,0.947
"On of the best tutorial ever.
Simple and very well explained, great examples. After this tutorial, you get a great knowledge about kubernetes principals, terminology and clear picture of how it works, how to use it.
Bravo Nana!",Positive,0.92
Thank you!,Positive,0.968
"This was...is...priceless! Kudos Nana for this awesome crash course through k8s! As others have also said, this was the first time I spent 3:37 hours watching a video, with no breaks! ❤️",Positive,0.673
Nana you are the best! I'm starting my first DevOps/tech job in a few weeks. I feel so confident after watching your videos. I will definitely support your Udemy courses. Keep up the good work,Positive,0.951
"Hi nana, you said in the fourth part of the course, that the ""Kube proxy"" is responsible for making the requests more efficient, so for example if ""My-app"" will send a request to the DB the request will be sent to the same node, and not to another replica, but you said before that the service is responsible for forwarding the requests?",Neutral,0.607
Thanks for your great content!,Positive,0.997
Díky!,Neutral,0.448
"My infinite Gratitude for both Docker and Kubernetes Full Courses. Both are my best-consumed content on Youtube ever before with full satisfaction in my life.
Thanks Very much, Nana☺",Positive,0.938
"Hi Nana, Thanks for sharing such great content. I followed your content and deployed mongo db , I am also able to access mongodb url on public ip. But As per my understanding public IP is always accessible to other networks that url is not accessible, so my understanding related to public ip is incorrect or that public ip takes some longer time to become public?",Positive,0.689
"I've tried few other courses to study Kubernetes but its hard to understand the basics. But this course is the perfect place to start. 
Thanks Nana. keep supporting :)",Positive,0.812
Thanks,Positive,0.985
13:29 does base64 encoding make it more secure?,Neutral,0.482
Thanks!,Positive,0.985
"It's too good. Exceptionally helpful, thanks",Positive,0.989
"🙏 still not able to believe, such amazing content put on YouTube for free.",Positive,0.908
"This is best course for kubernetes, i had purchased a course from different author on Udemy but there is no match of Nana in this topic.",Positive,0.565
"Wow, this is really good and super helpful! Lots of work must have gone into making it! Thanks for freely sharing it with the world! Cheers!",Positive,0.953
Excellent course. Thank you very much,Positive,0.981
"I find  this course  pretty synthetic, analytical  and overabstract. Graphics add even an extra layer of complexity instead of simplifying things down. The content in ok but needs restructuration in my opinion. Usually I watch videos to assimilate faster the infos but in this case I guess I would be learning faster by just reading the text script. Thank you for your effort and good will though.",Positive,0.713
"Hi Nana, I really love you....! because you always beating the people with your talent. I am sorry to say love you but its truth like earth is round...and I feel world is very small we can meet..!",Positive,0.851
Thanks!,Positive,0.985
"sincere thanks to you Nana; this tutorial gave me a good insight on k8s. 3hrs36mins of video means countless hrs you put in to compile all the concepts.
you are awesome...thanks a lot!!",Positive,0.925
Thanks a lot Nana. Superb.,Positive,0.931
I want to admit this is a very good and structural explanation,Positive,0.761
Thanks!,Positive,0.985
Amazing video! Precisely explain all of basic components. Thank You very much! Sub + like,Positive,0.973
Thanks!,Positive,0.985
I am really thankful to you for making such informative video . Can you please upload a video on dynamic storage class persistent volume claim . I couldn’t understand this . Thanks,Positive,0.886
"Great Video lectures of K8's I ever seen, very interesting....Loved it.....",Positive,0.981
"this is my 4rth day on learning devops and everything started to make sense after watching 3 full videos. docker, jenkins, kubernetes. i'm no longer confuse thanks to these amazing people on youtube puting up amazing works.",Positive,0.966
"Great job, thank you very much. It's very clear.",Positive,0.985
"Hi Nana, really appreciate your time and effort in making this well-organized, clear, and easy-to-follow tutorial. I got a non-related question, May I ask what is your current mac specifications? I've been using windows so far in my software development career and want to switch to Mac. really appreciate your input. Thanks.",Positive,0.889
are nodes just individual network devices ?,Neutral,0.468
toke me sometime to realize that you are a real legend.,Neutral,0.429
"whenever i apply mongodb.yaml i got imagepullback status in pod status. what can i do to tackle this issue. my os system is ubuntu 22.04 .
any one tell me 
error is errimagepull",Neutral,0.618
Brilliant course! Thank you!!,Positive,0.96
Devie504 - what are you doing here!?  =),Neutral,0.456
"Very good course, very nicely designed, easy to understand and up to point",Positive,0.762
Thank you for this 🙏🏽🙏🏽,Positive,0.911
Fantastic! Thank you.,Positive,0.972
Sorry im following along with the video but cannot find the part where you create kubernetes-dashboard service and deployment,Negative,0.358
Great course. Thank you for the amazing tutorial 🙌,Positive,0.99
"what an awesome video, I am halfway through and already learned a whole lot, this is amazing 🎉 thanks, Nana! for the time and effort put into making this masterpiece 👌",Positive,0.925
lovely and smart...  merry me?   XD    greetings !!!!,Positive,0.582
Thanks!,Positive,0.985
"Great Video , Many thanks",Positive,0.993
"Thank you, very clear and helpful",Positive,0.945
Thank you Nana!!!,Positive,0.968
"At 27:30, I believe you meant to say ""kubectl"" instead of ""kubelet"". Thank you so much for making this! 🙏",Positive,0.617
By far the best at explaining Kubernetes and all the other topics on your channel.,Positive,0.699
I am here 😌😊 to just hear your voice. Which is very good 👍 to my ears 😊,Positive,0.675
Absolutely amazing course! Thanks sooo much!,Positive,0.981
Love it-- ! So easy to understand complex topics when you explain them so well.,Positive,0.921
thanks for your effort in making this great tutorial!,Positive,0.974
"It's really Zero to Hero,  Superb explanation, Thank you Nana",Positive,0.868
"Have followed all of your tutorials, Docker, Devops and now Kubernettes. Thanks too small a word to express my gratitude.",Positive,0.756
Thanks,Positive,0.985
Many congratulations Nana for making this video. My humble request to you to please make similar kind of video on EKS and CICD deployment to EKS Cluster .. Thanks again & stay safe dear !!,Positive,0.866
Thanks!,Positive,0.985
I usually hate lectures.. but you capture me with the content. Appreciate you for the skills of tutoring. Really good.,Positive,0.695
"I was looking for a love react, unfortunately it was not available in YouTube. Thank you so much Nana for nice explanation.",Positive,0.984
Thank you!,Positive,0.968
Completed .awsome tutorial. thank you very much for sharing. Could you please update the ingress part since the hands on is not valid for ingress 1.19+ bec the apiversion has been changed from v1beta1 to v1.,Positive,0.718
This has helped me so much. Thank you for this !,Positive,0.874
yaml files are powerful,Positive,0.542
"This is a great tutorial! So thorough and so much content!

One point - I got stuck about 1h45 in - typing ""minikube service mongo-express-service"" did not open a browser window. After a bit of internet searching it appears to be a fairly common issue with minikube / local set up. I had to append --url to the command which prints the IP to the terminal and was then able to copy it to the browser, but it does not automatically open a browser for me.",Positive,0.448
"I was wondering why is she base64 encoding, the passwords, here is the answer from wikipedia: ""While encoding the user name and password with the Base64 algorithm typically makes them unreadable by the naked eye, they are as easily decoded as they are encoded. Security is not the intent of the encoding step. Rather, the intent of the encoding is to encode non-HTTP-compatible characters that may be in the user name or password into those that are HTTP-compatible.""",Neutral,0.586
Great tutorial!,Positive,0.963
"Course is good,but you dint show how to create cluster with out using minikube,thats required for me alot😀",Positive,0.636
"If Docker for Desktop is installed, you already have HyperKit",Neutral,0.449
Thanks a lot for a fantastic course. I have been using k8s for over a year now and even then i felt this course to be a great refresher!,Positive,0.911
This is by far far far away the best tutorial I've ever had. I really want to congratulate your work and the attention to details you shown in this masterclass. You are reference!,Positive,0.78
"It's amazing to see someone who is willing to give so much without asking. Thank you so much, I learned so much thanks to you.",Positive,0.952
Thanks!,Positive,0.985
This is GOLD,Positive,0.523
Excellent video with detailed explanation. Great work!,Positive,0.966
This is amazing Ms. Nana! Wonderful tutorial and great learning! Amazing work and hats off for the dedication and clarity in what you have produced - excellent stuff!! 💕,Positive,0.924
Eres una profesora muy buena ... muchas gracias por compartir ... espero que puedas compartir y vender y ganar mucho buen dinero con tus buenos cursos !!,Positive,0.485
Just wanted to thank you for this :),Positive,0.883
"For those who have ""Failed to pull image ""mongo"": rpc error: code = Unknown desc = context deadline exceed"" during creating pod from mongo db deployment file, try to download image first by using this command ""minikube image pull mongo""
P.S.: a very good tutorial, nice job!",Positive,0.607
"This is pure GOLD, no words to express my learning.",Positive,0.509
Thanks so much Nana for this. Jumping here after learning basic Docker Essentials. :) Prepping to get back to work after 4 yrs hiatus.,Positive,0.816
What an amazing content for beginners...Hats off to you for putting so much effort to compile such an amazing tutorials..Thank you so much!!!,Positive,0.986
Thanks!,Positive,0.985
"Great Video (my second time watching).  I think you made a mistake with the targetPort/port in the example starting around 1:02:03 

The nginx container listens on port 80 by default.  So, in the deployment the containerPort should be 80.  In the service it should map inbound port 8080 to container/pod port 80.  So the service targetPort would be 80, and the port would be 8080.  When I configure it this way I can spin up another pod in the same cluster and then curl http://<service CLUSTER-IP>:8080 with success.

If the nginx process in the container/pod was changed to listen on port 8080, then the way you describe would work (curl http://<service CLUSTERIP>:80).

Please let me know if I'm misunderstanding.  I feel like I'm finally starting to understand this stuff thanks to your video.",Neutral,0.448
Thanks!,Positive,0.985
"Good video, just to let everyone know base64 encoding isn't a security mechanism. Base64 doesn't make your passwords secure. (t=827)",Positive,0.453
Thanks Nana 💌,Positive,0.985
I am 45 mins in this is already a great class. I highly appreciate your efforts. God bless you. ❤,Positive,0.913
Thanks!,Positive,0.985
"As Usual, excellent Content, thanks for the video",Positive,0.92
"wow, so far the best tutorial on k8s i found! thanks!",Positive,0.963
I watched the video a second time. Thank you for making such great content publicly available!,Positive,0.968
the ingress tutorial seems to be outdated or just not working on windows,Positive,0.449
Thanks!,Positive,0.985
"Thank you for creating it, I learnt a lot 😊

Just a small thing, you have the nodePort in an incorrect range at the Ingress explanation: https://youtu.be/X48VuDVv0do?t=7430
(I know that you can change the default port range with ""--service-node-port-range"" according to the official documentation
but still earlier you told people it must be between the default 30000-32767 range)

Also if you are looking for video ideas, I would love to see a more in depth tutorial on the StatefulSets 😀",Positive,0.447
In search of gold I found diamond ❤,Positive,0.522
can you please guide how to install Ingress Controller in Kubernetes cluster? I am not using minikube.,Positive,0.467
"hi @10:11 you said node IP address not the service IP address, for eg if there are 10 application pods which are running in different nodes, then which node IP user will browse for accessing application? is it not service IP user uses when accessing from external world?",Neutral,0.676
Awesome course. Better than most of paid courses. Congrats!,Positive,0.937
"hello Nana, i try to run ""kubectl get node"" and i got this error: The connection to the server localhost:8080 was refused - did you specify the right host or port? can anyone help?",Positive,0.383
"Amazing Content , well expressed and great hands on , Thanks Nana , appreciate the course !! Keep going !!",Positive,0.991
"Amazing content, but I mainly subscribed because you have 666k subscribers and we need to change that :)",Positive,0.722
Thank you so much!,Positive,0.98
"Hi Nana, do you explain CRDs in this video ?",Positive,0.535
thanks alot,Positive,0.943
Thanks!,Positive,0.985
What a lecture Nana 🙂!  Thanks a lot.  All good stuffs on k8s are here. haaaa!,Positive,0.914
"Hats of to you, you are a gem. The content is solid and crisp. I really liked it and it definetly boost up my knowledge. Lots of love from India. Keep doing the good work.",Positive,0.93
"By the end of this Kubernetes course, you will have a deep understanding of the Kubernetes concepts.

▬▬▬▬▬▬ T I M E S T A M P S ⏰  ▬▬▬▬▬▬
0:00 - Intro and Course Overview
2:18 - What is K8s
5:20 - Main K8s Components
22:29 -  K8s Architecture
34:47 - Minikube and kubectl - Local Setup
44:52 - Main Kubectl Commands - K8s CLI
1:02:03 - K8s YAML Configuration File
1:16:16 - Demo Project: MongoDB and MongoExpress
1:46:16 - Organizing your components with K8s Namespaces
2:01:52 - K8s Ingress explained
2:24:17 - Helm - Package Manager
2:38:07 - Persisting Data in K8s with Volumes
2:58:38 - Deploying Stateful Apps with StatefulSet
3:13:43 - K8s Services explained",Neutral,0.536
oh man! Do you have a level -1. I didn't get it!,Positive,0.416
Thanks!,Positive,0.985
"For the demo mogo/mongo-express app, I had to specify my mongo-express service's spec type as NodePort instead of LoadBalancer.

I am using Docker Desktop Kubernetes with WSL2 (Debian) and LoadBalancer spec type didn't work for me if anyone else has this problem.",Neutral,0.525
"love the tee, such a simple but powerful message <3",Positive,0.832
Your Tutorials and Explanations are exceptional Full Marks to you Nana 👍,Positive,0.549
Thanks!,Positive,0.985
you are an amazing teacher. so clear and professional. many many thanks,Positive,0.931
Thanks!,Positive,0.985
"What a beautiful job! thank you for share your knowledge, it's helped me a lot on my fundamentals in k8s.",Positive,0.926
"A complete tutorial without ads, fluff and unnecessary details. Therefore donate 5€ for your efforts",Positive,0.471
"Awesome, thanks for spreading the knowledge... learned a lot from your courses.",Positive,0.921
"Nana , your content is awesome. it’s addictive, I am hooked to your tech playlist like tv series. Thank you so much for these. Great learning experience.",Positive,0.986
Very helpful for completing my project early. Thank you maam🙏🙏,Positive,0.952
Hi love you ❤️,Positive,0.917
"Your way of presenting information is great.
Proper tempo, easy to listen, i don't have to speed up playback and I am not bored quickly - just perfect
Thank you",Positive,0.926
"Thanks a ton, Great course.",Positive,0.977
Great tutorial Nana. I have a problem when it comes to deleting the containers for mongodb and mongo-express as they keep on starting again after I delete them. How can I do that,Positive,0.787
"Thank you, for making difficult topic easier.🙂😊",Positive,0.866
Thank you for doing a great service for us learners.,Positive,0.979
Amazing work ! Perfect flow and crystal clear explanations !,Positive,0.923
@TechWorld with Nana: Unable to install hyperkit on my Mac M2 as it is not x86 architecture. Any work-arounds please?,Positive,0.502
"maybe i'm just stupid but to me all this kubernetes stuff seems 5x more complicated than it needs to be. in gradle, sbt etc i can copy/paste a few lines and i ""have what i need"". in kubernetes i have to copy paste entire config files. i just don't see why that should be necessary. why isn't there a ""deploy mongo"" or ""deploy sql""-command like i can ""just run"" a docker container?
how does kubernetes beat my custom .sh script?",Neutral,0.369
Thanks!,Positive,0.985
One of the best tutorials I have ever seen in my life!,Positive,0.856
thanks for this,Positive,0.895
"Hi, had a small issue with the minikube service command. Somehow 'minikube service mongo-express-service' did not work for me (probably some issues with default browser settings). But using 'minikube service mongo-express-service --url' helped, as that simply exposes the browser URL which can then be opened by hand.",Neutral,0.409
"This was such an amazing course on K8s, loved it. Thank you Nana ❤",Positive,0.984
Best tutorial for overall idea of K8s,Positive,0.822
Thanks!,Positive,0.985
Thanks,Positive,0.985
Thanks,Positive,0.985
Thanks,Positive,0.985
Terrific!!  I hope there are more videos about stateful. I find it hard to believe that database and containers don't really go well together. Really? That's it? Hasn't this container stuff been incubating for about 15 years? Have they just not gotten around to cracking this nut? Hard to believe.,Positive,0.749
Thanks!,Positive,0.985
Thanks!,Positive,0.985
Thanks!,Positive,0.985
i am getting error unknown shorthand flag: ''f' in f while creating yaml file. please help,Positive,0.443
"Thanks Nana, you're an amazing human being 👍🌹",Positive,0.964
Excellent Course Nana. I am really looking forward to see a course on Microsoft Azure.  Hope I see soon. God Bless You,Positive,0.939
Wonderful tutorial for Kube. Thanks a lot Nana,Positive,0.952
"I encountered an error ""WARNING: MongoDB 5.0+ requires a CPU with AVX support, and your current system does not appear to have that!"" when deploying mongo db. I had to edit the deployment and set the image as mongo:4.4.6",Neutral,0.505
Thanks!,Positive,0.985
This dude does the Windows minikube install : https://www.youtube.com/watch?v=_nGbd2PUmZg&list=PLzGIAUimSnza8q1P3A8AO1sl-3QGhJCDe&index=11,Neutral,0.474
"Hi Nana, Thanks for the great content.. Really good work",Positive,0.988
Best k8s tutorial that I've ever seen!,Positive,0.91
I want to know if you use any cloud provider service here or not,Neutral,0.464
Excellent explanations and a very complete course! Thanks!,Positive,0.899
Hey Nana. Someone asked my 100$ for this course PPT. Is that you really or someone is duping me?,Neutral,0.412
"Hello Nana, great thanks for putting this lecture together. While following your practical examples on my windows powershell, l got lost here where set up the configuration file   -  PS C:\WINDOWS\system32> cd k8s-configuration/                                                                           cd : Cannot find path 'C:\WINDOWS\system32\k8s-configuration\' because it does not exist.                               At line:1 char:1                                                                                                        + cd k8s-configuration/                                                                                                 + ~~~~~~~~~~~~~~~~~~~~~                                                                                                     + CategoryInfo          : ObjectNotFound: (C:\WINDOWS\system32\k8s-configuration\:String) [Set-Location], ItemNotF     oundException                                                                                                            + FullyQualifiedErrorId : PathNotFound,Microsoft.PowerShell.Commands.SetLocationCommand -",Positive,0.746
Awesome!,Positive,0.974
Can you please share a link to the presentations used here. Will be really useful for quick refresher. Thanks in advance.,Positive,0.784
Danke!,Neutral,0.448
Hands down one of the best tutorials I’ve seen. Thanks a lot!,Positive,0.92
Heads up for anyone else watching this in 2022 (or later) - when you run the 'minikube status' command you will see a Role of 'control-plane' instead of 'master'. Apparently the term 'master' for nodes has been deprecated and replaced with control-plane. Everything should behave similarly enough for this to not be an issue.,Neutral,0.458
